url;summary;target
https://www.bbc.co.uk/news/world-europe-61980555;"It calls for the handover of 33 ""terror"" suspects after a deal to let Finland and Sweden join Nato.";1
https://www.bbc.co.uk/news/uk-northern-ireland-61982295;An academic tells MPs he was aghast at the government's strategy for overriding part of the Brexit deal.;0
https://www.bbc.co.uk/news/world-europe-61981735;The biggest trial in modern French history readies verdicts for 20 accused over the 2015 atrocity.;0
https://www.bbc.co.uk/news/world-us-canada-61981785;A prime beachfront space in Manhattan Beach is given back to its black owners after its 1924 seizure.;1
https://www.bbc.co.uk/news/uk-scotland-scotland-politics-61980405;Scotland's first minister wants a referendum in October next year, but says an election could be used to decide independence.;1
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-61980437;The 61-year-old says scans show no evidence of disease after six rounds of chemotherapy.;2
https://www.bbc.co.uk/news/uk-61980343;"The Duke and Duchess of Cambridge say the legacy of the ""inspirational"" cancer campaigner will live on.";1
https://www.bbc.co.uk/sport/football/61975959;Schalke 04, Rennes and Lorient are linked with Celtic's Christopher Jullien as Rangers increase their offer for PAOK's Antonio Colak.;1
https://www.bbc.co.uk/news/uk-england-norfolk-61970007;The Queen Elizabeth Hospital, in King's Lynn, Norfolk, has steel and wooden posts in 56 areas.;1
https://www.bbc.co.uk/news/business-61965785;A group says a government campaign asking businesses to cut prices is unrealistic for small firms.;0
https://www.bbc.co.uk/news/uk-northern-ireland-61972611;Nearly 800 children are now being educated at home in Northern Ireland, compared to 287 in 2017.;2
https://www.bbc.co.uk/news/uk-northern-ireland-61971679;MPs will later attempt to make changes to the government's contentious Troubles legacy bill.;1
https://www.bbc.co.uk/news/uk-61976526;"Boris Johnson says the Russian president's war in Ukraine is a ""perfect example of toxic masculinity"".";0
https://www.bbc.co.uk/news/world-asia-61976456;The regulator's decision to strip Rappler of its licence comes in the dying days of Rodrigo Duterte's presidency.;1
https://www.bbc.co.uk/news/science-environment-61976369;New research complicates our current understanding of where humans came from.;0
https://www.bbc.co.uk/news/health-61499581;How Dame Deborah's fundraising will help scientists find new ways to outwit cancer.;2
https://www.bbc.co.uk/news/uk-61954906;Privately run homes in England made disproportionately high numbers of emergency calls, the BBC finds.;0
https://www.bbc.co.uk/news/business-61967116;The discount chain says it is seeing a rise in customer numbers as people seek savings.;1
https://www.bbc.co.uk/news/blogs-the-papers-61976179;The jailing of Ghislaine Maxwell and plans for a new Scottish independence vote lead the papers.;0
https://www.bbc.co.uk/news/science-environment-61926275;"The Climate Change Committee also cites a ""shocking"" lack of policy to insulate people's homes.";0
https://www.bbc.co.uk/news/world-middle-east-61963517;The last homes are being removed as part of what officials say is a plan to beautify the waterfront.;1
https://www.bbc.co.uk/news/world-asia-china-61947779;The return of Hong Kong to China in 1997 is still a polarising topic for residents now living in the UK.;1
https://www.bbc.co.uk/news/world-middle-east-61976009;Hisham al-Sayed was last seen in 2015 when he is believed to have wandered into the Gaza Strip.;1
https://www.bbc.co.uk/sport/golf/61975762;"The DP World and PGA Tours are strengthening their alliance to try to fight off an ""existential threat"" posed by Saudi-funded LIV Golf series.";1
https://www.bbc.co.uk/sport/61961652;Chelsea close to agreeing deal with Leeds Utd for Raphinha, Man Utd hope De Jong signing convinces Eriksen to join, Everton reject Bergwijn as part of Richarlison offer from Tottenham, plus more.;1
https://www.bbc.co.uk/news/uk-wales-61965909;"""A tide of avoidable blindness"" could sweep Wales if care is not reformed, a consultant claims.";0
https://www.bbc.co.uk/programmes/w172yfc0z24stkt;Ghislaine Maxwell has been sentenced to twenty years in prison for helping the financier and convicted sex offender Jeffrey Epstein abuse teenage girls. Also on the programme, An aide to President Trump's chief of staff has said that Mr Trump knew some of his…;0
https://www.bbc.co.uk/news/world-europe-61971858;Ankara had previously opposed to the Scandinavian countries' bids to join the alliance.;1
https://www.bbc.co.uk/news/world-europe-61967382;Finland and Sweden to join the alliance as footage shows civilians running for their lives.;1
https://www.bbc.co.uk/news/uk-61398716;Friends and colleagues pay tribute to podcast host Dame Deborah James, who has died at the age of 40.;1
https://www.bbc.co.uk/news/world-us-canada-61974395;Eager to come to the US, migrants often ignore the fatal risks of being smuggled in vehicles;0
https://www.bbc.co.uk/news/world-us-canada-61960590;Epstein victim Annie Farmer says Maxwell's sentence will help bring some sense of justice.;1
https://www.bbc.co.uk/news/uk-61970053;It comes days after bereaved families warned of legal action against the government over delays.;0
https://www.bbc.co.uk/news/uk-england-essex-61974464;The teenager is being questioned after he was detained during a stop and search at the airport.;0
https://www.bbc.co.uk/sport/tennis/61972124;Rafael Nadal continues his bid for an improbable calendar-year Grand Slam by fighting off Francisco Cerundolo to win on his return to Wimbledon.;1
https://www.bbc.co.uk/sport/tennis/61966942;World number two Ons Jabeur, in her latest Wimbledon column, discusses how she loves breaking boundaries and why the 'Minister of Happiness' is one of her nicknames.;1
https://www.bbc.co.uk/news/world-europe-61971856;"Police in Germany say the eight-year-old crawled into the sewer and then ""lost his bearings"".";0
https://www.bbc.co.uk/sport/boxing/61942835;"British boxer Tommy Fury says it is a ""massive shock"" to be denied entry to the US for the press conference of his fight with Jake Paul on Wednesday.";0
https://www.bbc.co.uk/news/uk-england-cambridgeshire-61970476;A delivery man on a motorbike filmed himself making fun of the woman's medication.;0
https://www.bbc.co.uk/news/61967480;Russia's government and its supporters online spread a number of false claims after the bombing.;0
https://www.bbc.co.uk/news/world-latin-america-61970093;Inmates set fire to mattresses to stop warders breaking up a riot, but the blaze killed 49 of them.;0
https://www.bbc.co.uk/news/av/uk-politics-61970307;"The foreign secretary says she is ""trying to remember"" when asked to name which human rights issues she has raised with Gulf state leaders.";1
https://www.bbc.co.uk/news/world-europe-61963475;Two suspects are arrested after a gang smashes display cases at a major European fair in Maastricht.;0
https://www.bbc.co.uk/news/uk-northern-ireland-61967086;Muckamore Abbey Hospital is at the centre of a public inquiry into alleged abuse of patients.;0
https://www.bbc.co.uk/news/uk-england-beds-bucks-herts-61966132;Figures show the number of people in the region grew by 8.3% since the last census in 2011.;2
https://www.bbc.co.uk/news/world-us-canada-61969006;Migrants of Mexican, Honduran and Guatemalan origin are among the dead, Mexico's government said.;0
https://www.bbc.co.uk/news/uk-wales-61966876;Seven areas of Wales saw falls in population, as the first Census 2021 results are revealed.;0
https://www.bbc.co.uk/news/uk-england-norfolk-61965695;A perfectly planned romantic proposal goes awry when the ring bounces into a lake.;0
https://www.bbc.co.uk/news/world-europe-61967376;A Russian missile hit a busy mall in Ukraine. The BBC spoke to some of those who were inside.;0
https://www.bbc.co.uk/news/world-us-canada-61960589;Women celebrating life's milestones in Nashville, Tennessee, also reflect the overturning of Roe v Wade.;2
https://www.bbc.co.uk/news/uk-northern-ireland-61966155;Despite the decrease in surgeries the number of GPs, excluding locums, has gone up since 2014.;1
https://www.bbc.co.uk/news/world-us-canada-61946619;Test your knowledge of the news these last few days - 10 questions, 10 seconds each. Go!;1
https://www.bbc.co.uk/news/business-61964399;"The company says there are signs consumers have ""tightened their belts"" as living costs rise.";0
https://www.bbc.co.uk/news/world-europe-61963473;The oldest Nazi criminal ever to stand trial in Germany, he had always denied being a camp guard.;0
https://www.bbc.co.uk/news/uk-england-merseyside-61962924;Marie McCourt hopes Ian Simms' death will mean someone reveals where her daughter Helen's remains are.;1
https://www.bbc.co.uk/news/science-environment-61963555;Members of the public often report seeing condoms and toilet paper in England and Wales's waterways.;0
https://www.bbc.co.uk/news/uk-northern-ireland-61955756;On 28 June 1922 an attack on Dublin's Four Courts marked the beginning of the Irish civil war.;0
https://www.bbc.co.uk/news/uk-northern-ireland-61957916;"It is claimed union members taking action short of strike may be in ""breach of contract"".";0
https://www.bbc.co.uk/news/uk-england-norfolk-61931090;George, 10, hopes a newly-approved drug will lessen the impact of his peanut allergy.;2
https://www.bbc.co.uk/news/uk-england-cambridgeshire-61953668;The student accommodation known for decades as The Colony is being renamed.;1
https://www.bbc.co.uk/news/uk-england-nottinghamshire-61954315;Helen and Kieron Buxton decided to tackle their weight after Kieron developed type 2 diabetes.;0
https://www.bbc.co.uk/news/uk-england-nottinghamshire-61951394;"Prof Serrant says having her poem chosen to appear next to the monument was an ""absolute honour"".";2
https://www.bbc.co.uk/news/world-australia-61961744;Big shifts are happening - the country is now more diverse, less religious, and increasingly millennial.;2
https://www.bbc.co.uk/news/uk-61961675;Ben Wallace says the UK military needs more money to counter the threat posed by Russia.;0
https://www.bbc.co.uk/news/world-us-canada-61961871;Emergency services are on the scene where the vehicle was discovered outside San Antonio.;1
https://www.bbc.co.uk/news/world-us-canada-61958812;The Supreme Court ruled that Biden did not violate federal law by ending the controversial policy;1
https://www.bbc.co.uk/news/science-environment-62000742;The landmark ruling curbs federal power to limit greenhouse gas emissions in a setback for President Biden.;1
https://www.bbc.co.uk/news/uk-61995624;Some forces are not handling abuse allegations made against their own officers and staff properly, a review finds.;0
https://www.bbc.co.uk/news/world-europe-61997383;Shaun Pinner and Aiden Aslin were sentenced by a Russian proxy court in eastern Ukraine earlier this month.;0
https://www.bbc.co.uk/news/uk-england-derbyshire-61998665;An inquest hears Logan Folger died after saving a girl who was struggling in the water.;0
https://www.bbc.co.uk/news/uk-61999145;Boris Johnson says it will hit 2.5% of GDP by 2030, but the defence secretary wanted faster action.;1
https://www.bbc.co.uk/news/world-europe-61996698;The deaths of 27 people in November was one of the deadliest incidents in the English Channel.;0
https://www.bbc.co.uk/news/uk-politics-61993157;"Russia's president says it would be ""disgusting"" to see leaders who mocked his macho image strip off.";0
https://www.bbc.co.uk/news/uk-wales-61270062;"Dr Joselyn Sellen says hearing what happened to Logan Mwangi left her ""completely traumatised"".";0
https://www.bbc.co.uk/sport/tennis/61966375;Attendance at this year's Wimbledon is down 11% for the first three days compared with three years ago, according to analysis.;0
https://www.bbc.co.uk/news/uk-england-leicestershire-61996227;Julie Burdett was found emaciated and covered in her own faeces, urine and vomit, a court hears.;0
https://www.bbc.co.uk/news/world-europe-61992491;Russia claims it is a gesture of goodwill, but the withdrawal from a Black Sea rock is a big defeat.;0
https://www.bbc.co.uk/news/health-61994873;People should look out for unusual rashes, fevers and swollen glands, London's public-health director says.;1
https://www.bbc.co.uk/news/uk-england-essex-61994377;Zoe Alexander spoke in court about her brother, Nick, who was shot dead by terrorists in 2015.;0
https://www.bbc.co.uk/news/world-europe-61988615;The move to Western equipment is increasingly important as Ukraine runs low on Soviet-era arms.;1
https://www.bbc.co.uk/news/uk-northern-ireland-61996146;The first elective surgery centre is earmarked for the Mater Hospital with further sites to come.;1
https://www.bbc.co.uk/news/av/newsbeat-61994942;Wrestling's latest superstar Veer Mahaan talks about his journey from reality TV to joining the WWE.;1
https://www.bbc.co.uk/news/world-africa-61993601;The tooth is all that remains of the murdered independence leader whose body was dissolved in acid.;0
https://www.bbc.co.uk/news/uk-england-leicestershire-61993354;John Holubjowsky was raising money for a hospice when he died just 28 miles from the finish line.;0
https://www.bbc.co.uk/news/uk-scotland-61994020;Natalie McGarry sentenced to two years in prison for taking cash from two pro-independence groups.;0
https://www.bbc.co.uk/news/science-environment-61986359;An area broadly the size of Europe's land surface was added to ocean charts in the past year alone.;1
https://www.bbc.co.uk/sport/football/61992838;West Brom gave a loan of ?4.95m to a company owned by chairman and owner Guochuan Lai to help it through the coronavirus pandemic.;1
https://www.bbc.co.uk/news/world-middle-east-61950964;The 58-year-old former boxer and TV presenter will take the top office for the first time.;1
https://www.bbc.co.uk/news/uk-england-northamptonshire-61988377;Formula 1 fans, the Silverstone Circuit and nearby businesses prepare for the British Grand Prix.;1
https://www.bbc.co.uk/sport/football/61992160;Argentine club say defender deal is done with Celtic, Rangers determined to land Croatian striker...;1
